Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily minimum air temperature for UK
Areal series, starting in 1884
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1925    2.0    1.1    1.0    2.3    6.3    8.4   10.9   10.3    6.7    6.0    0.4   -0.7    2.31    3.21    9.88    4.36    4.58
1926    1.3    2.9    2.2    4.1    4.7    8.0   11.1   10.6    9.0    3.4    2.1    1.3    1.10    3.67    9.91    4.82    5.06
1927    1.1    0.6    2.8    2.8    4.9    6.7   10.8   10.5    7.8    5.7    2.5   -0.5    1.02    3.51    9.34    5.32    4.67
1928    1.2    1.6    1.8    3.2    5.2    7.0   10.0    9.9    6.9    5.6    3.7    0.3    0.76    3.42    9.01    5.43    4.73
1929   -1.4   -2.3    0.3    1.5    5.1    7.4    9.8    9.8    9.3    5.0    2.7    2.1   -1.07    2.32    9.00    5.63    4.15
1930    1.5   -0.9    0.6    3.7    5.3    8.8   10.2   10.4    8.9    6.2    1.9    1.3    0.98    3.20    9.83    5.68    4.86
1931   -0.1    0.2   -0.7    3.1    5.8    8.7   10.5    9.2    7.0    4.3    4.1    2.5    0.46    2.74    9.46    5.15    4.58
1932    2.5    0.2    0.4    1.8    5.4    8.0   10.9   11.2    8.0    4.3    3.0    2.4    1.78    2.55   10.03    5.11    4.87
1933   -0.9    0.3    2.1    3.8    6.3    9.0   11.7   11.2    9.0    6.0    2.4   -0.5    0.60    4.08   10.65    5.81    5.07
1934    1.0    0.6    0.3    2.8    5.3    8.6   11.2    9.7    8.7    6.0    2.6    4.8    0.37    2.81    9.86    5.75    5.17
1935    1.6    1.7    2.1    3.0    4.2    9.1   10.6   10.4    8.4    5.0    2.7   -0.4    2.74    3.12   10.02    5.36    4.89
1936    0.1   -1.0    2.7    1.4    5.6    8.5   10.5   10.5    9.5    4.8    1.9    1.6   -0.41    3.27    9.84    5.41    4.70
1937    1.6    1.3   -0.8    4.4    6.3    8.3   10.5   10.5    7.9    5.7    1.9   -0.4    1.54    3.29    9.81    5.17    4.80
1938    2.0    1.3    4.1    2.2    5.0    8.5    9.6   10.2    8.6    6.0    5.0    0.9    0.96    3.77    9.45    6.54    5.31
1939    0.4    1.9    1.9    3.2    5.6    8.0   10.1   10.8    9.1    4.0    4.5    0.4    1.06    3.59    9.67    5.84    5.01
1940   -4.1   -0.6    1.2    3.4    6.3    9.3    9.5    9.6    7.0    5.5    2.9    0.7   -1.44    3.60    9.46    5.12    4.22
1941   -2.5   -0.7    0.3    1.9    3.8    8.5   10.8    9.5    9.7    5.9    2.6    2.1   -0.84    2.00    9.63    6.06    4.36
1942   -1.6   -2.8    0.6    3.3    4.9    7.7    9.8   11.0    8.4    6.0    1.5    3.1   -0.67    2.89    9.50    5.29    4.36
1943    1.4    2.1    2.0    5.0    5.5    8.6    9.8   10.2    7.8    6.3    2.7    0.8    2.20    4.15    9.52    5.60    5.19
1944    2.3    0.2    0.6    4.5    5.2    8.0   11.1   11.0    7.2    5.1    2.1    0.7    1.12    3.41   10.08    4.77    4.84
1945   -3.1    2.9    3.3    4.2    6.0    8.8   11.0   10.3    9.5    6.9    4.1    1.9    0.06    4.48   10.04    6.83    5.49
1946   -0.2    2.2    0.8    3.9    4.8    7.7   10.4    9.2    9.3    5.7    4.2   -0.3    1.26    3.15    9.11    6.41    4.81
1947   -0.7   -4.3   -1.0    3.4    6.8    9.4   11.1   11.3    9.0    6.0    3.0    1.9   -1.68    3.02   10.63    6.03    4.72
1948    1.2    1.1    2.8    3.4    4.7    8.3   10.1   10.0    8.8    5.5    3.7    2.3    1.40    3.61    9.48    6.01    5.16
1949    1.7    1.4    0.8    4.6    5.0    8.2   10.8   10.7   10.5    7.3    3.0    2.0    1.79    3.46    9.92    6.93    5.52
1950    1.4    0.8    2.7    2.5    5.7    9.7   10.5   10.2    8.3    5.5    1.8   -1.7    1.44    3.64   10.11    5.22    4.81
1951    0.4   -0.1    0.1    1.5    4.6    7.5   10.4    9.8    9.1    5.6    4.5    1.9   -0.49    2.08    9.25    6.41    4.64
1952   -1.2   -0.4    2.5    3.9    7.2    8.3   10.8   10.5    6.2    4.8    0.7   -0.0    0.13    4.50    9.87    3.92    4.46
1953    0.8    0.9    0.5    1.9    6.8    8.9   10.3   10.4    9.1    5.8    4.9    3.6    0.54    3.09    9.86    6.56    5.35
1954    0.1   -1.0    1.4    2.2    6.0    8.5    9.3    9.7    7.5    7.3    2.8    3.1    0.99    3.21    9.17    5.86    4.78
1955   -0.7   -2.6   -1.1    3.8    4.3    8.2   10.7   11.6    8.9    4.4    3.7    1.6    0.00    2.32   10.16    5.69    4.44
1956   -0.1   -3.3    1.6    1.3    5.7    7.6   10.5    8.4    9.5    5.3    2.9    2.9   -0.53    2.90    8.87    5.91    4.40
1957    1.5    0.8    4.7    3.4    4.7    7.9   11.1   10.4    7.9    6.3    3.2    1.0    1.76    4.28    9.84    5.80    5.27
1958   -0.4    0.4   -0.5    2.4    5.2    8.3   10.4   10.7   10.1    6.8    3.1    1.1    0.29    2.34    9.82    6.65    4.80
1959   -2.1    0.7    2.9    4.2    6.2    8.9   10.7   11.2    8.3    7.4    3.3    2.1   -0.16    4.42   10.28    6.34    5.34
1960    0.4   -0.5    2.4    3.9    6.8    9.5    9.9    9.6    8.1    6.5    3.1    0.3    0.70    4.37    9.68    5.89    5.02
1961    0.0    3.0    3.3    4.8    5.3    8.3    9.7    9.9    9.6    6.3    2.3   -1.3    1.04    4.49    9.28    6.08    5.10
1962    0.6    0.8   -1.8    2.4    5.1    7.5    9.3    9.3    7.9    6.2    2.0   -0.9   -0.02    1.87    8.72    5.36    4.03
1963   -4.5   -4.0    1.5    3.6    5.0    9.1    9.3    9.4    7.9    6.5    3.8   -0.2   -3.12    3.36    9.27    6.08    3.99
1964    0.6    1.0    1.0    4.0    7.3    8.4   10.3    9.6    8.1    4.3    3.5   -0.3    0.43    4.11    9.45    5.27    4.82
1965   -0.2    0.0    0.3    2.7    6.1    8.7    8.8    9.3    7.7    6.3    0.8    0.5   -0.18    3.06    8.92    4.96    4.28
1966   -0.0    1.6    2.2    2.6    5.2    9.8    9.5    9.2    9.1    5.6    1.7    1.3    0.65    3.37    9.47    5.46    4.83
1967    1.2    1.7    2.7    3.1    5.1    8.0   10.6   10.1    8.8    6.3    1.7    1.0    1.43    3.61    9.59    5.61    5.05
1968    0.8   -1.8    1.8    2.5    4.4    8.7    9.6   10.1    9.0    8.4    3.1    0.3    0.04    2.88    9.47    6.88    4.76
1969    1.9   -2.5   -0.4    2.0    5.9    7.8   10.7   11.1    8.9    8.3    0.9    0.1   -0.05    2.47    9.89    6.08    4.61
1970    0.4   -1.3   -0.4    1.9    6.9    9.6    9.7   10.5    9.2    6.1    3.5    1.1   -0.23    2.80    9.93    6.26    4.80
1971    1.4    1.0    1.1    2.8    5.6    7.4   10.4   10.4    8.6    6.5    2.1    3.6    1.20    3.18    9.42    5.74    5.12
1972    0.9    0.9    1.6    3.7    5.6    6.6    9.8    9.3    6.5    6.0    2.2    2.1    1.83    3.62    8.59    4.87    4.60
1973    1.5    0.3    1.2    2.1    5.9    8.7   10.2   10.5    8.9    4.6    1.9    1.0    1.34    3.07    9.83    5.14    4.77
1974    2.3    1.8    1.3    2.4    5.4    7.9    9.8    9.5    7.2    3.9    2.8    4.1    1.68    3.05    9.09    4.63    4.89
1975    2.5    0.9    0.8    3.4    4.3    7.7   11.1   11.9    7.8    5.8    2.3    2.0    2.53    2.83   10.27    5.28    5.07
1976    2.1    1.2    0.8    3.1    6.2    9.9   11.4   10.0    8.6    6.4    2.3   -1.2    1.79    3.36   10.45    5.75    5.08
1977   -0.7    1.0    2.7    2.4    4.7    7.1   10.3    9.8    8.2    7.5    2.3    2.8   -0.33    3.28    9.05    6.01    4.86
1978   -0.4   -1.4    2.2    2.0    5.7    8.2    9.5   10.1    9.1    7.5    4.3    1.0    0.41    3.31    9.29    6.98    4.87
1979   -3.7   -1.9    0.4    2.9    4.3    8.5   10.2    9.4    7.9    6.9    2.4    2.0   -1.50    2.52    9.40    5.75    4.15
1980   -0.9    1.8    0.6    3.4    4.9    8.7    9.5   10.6    9.8    4.5    3.0    1.9    0.94    2.97    9.62    5.78    4.83
1981    0.9   -0.3    3.4    2.7    6.2    8.3   10.2   10.4    9.1    3.5    3.5   -3.0    0.84    4.11    9.68    5.36    4.61
1982   -0.8    1.3    1.4    3.3    5.1    9.6   10.7   10.5    8.6    6.1    3.9    0.4   -0.90    3.24   10.29    6.20    5.03
1983    2.7   -1.5    2.5    1.6    5.4    8.6   12.0   11.1    8.8    5.9    3.9    2.3    0.62    3.19   10.60    6.22    5.34
1984   -0.6    0.4    1.0    2.3    4.3    8.8   10.1   11.0    8.8    6.3    4.4    1.9    0.72    2.53    9.98    6.48    4.90
1985   -2.4   -1.0    0.3    3.5    5.6    7.3   10.6    9.8    9.1    6.6    0.0    2.6   -0.51    3.13    9.26    5.25    4.37
1986   -0.1   -3.6    0.8    1.2    6.1    8.6   10.4    8.5    5.9    6.3    3.5    2.0   -0.26    2.71    9.18    5.25    4.19
1987   -1.8   -0.3    0.1    4.5    4.8    7.6   10.6   10.3    8.4    4.9    3.4    2.4   -0.02    3.14    9.53    5.57    4.61
1988    1.5    1.1    2.0    3.3    6.0    9.1   10.2   10.0    8.6    6.3    1.6    4.2    1.68    3.78    9.77    5.49    5.34
1989    3.1    1.7    2.4    1.9    6.4    8.0   11.4   10.5    8.9    7.3    2.8    0.9    3.02    3.59    9.97    6.33    5.46
1990    2.8    3.1    3.8    2.5    6.2    8.5   10.3   11.7    7.7    7.6    3.2    1.1    2.23    4.17   10.21    6.16    5.73
1991   -0.2   -1.7    3.3    3.2    6.0    7.2   11.9   11.2    8.5    6.0    2.9    1.4   -0.21    4.18   10.12    5.79    5.02
1992    0.7    1.7    3.1    3.9    7.1    9.5   10.8   10.1    8.4    3.4    3.0    0.4    1.23    4.69   10.13    4.93    5.17
1993    1.7    2.3    2.0    4.6    5.9    9.1    9.9    9.0    7.5    4.1    1.3    1.2    1.44    4.19    9.35    4.29    4.91
1994    1.3   -0.3    2.9    3.1    5.2    8.6   11.2   10.4    8.0    5.5    6.4    2.4    0.75    3.76   10.09    6.62    5.43
1995    0.5    2.1    0.7    3.6    5.6    8.3   11.8   11.8    8.6    8.2    3.9   -0.9    1.66    3.31   10.67    6.93    5.38
1996    2.3   -1.0    1.1    3.5    3.8    8.0   10.1   10.8    8.6    7.1    1.5   -0.0    0.13    2.78    9.67    5.76    4.67
1997   -0.6    2.2    3.6    3.7    5.6    8.9   10.8   12.7    8.7    5.5    5.1    2.6    0.50    4.27   10.81    6.43    5.75
1998    1.6    3.8    3.5    3.1    7.1    9.0   10.5   10.3    9.9    5.9    2.2    1.9    2.60    4.59    9.91    6.02    5.74
1999    1.8    1.3    2.8    4.5    7.5    8.2   11.3   10.6   10.2    6.5    4.0    0.7    1.67    4.94   10.06    6.90    5.82
2000    1.4    2.0    3.1    3.0    6.3    9.1   10.0   10.8    9.9    6.1    3.0    2.2    1.38    4.11    9.97    6.30    5.58
2001   -0.2    0.1    0.7    2.9    6.5    8.4   11.1   11.0    8.8    9.4    3.5   -0.0    0.75    3.37   10.18    7.27    5.22
2002    2.1    2.5    2.8    3.8    6.8    9.3   10.4   11.6    8.9    5.3    4.9    2.8    1.47    4.47   10.44    6.36    5.94
2003    1.0    0.0    2.1    4.1    6.7   10.1   12.1   11.7    8.2    4.3    4.3    1.2    1.29    4.30   11.28    5.58    5.51
2004    1.7    1.3    2.1    4.8    6.5    9.8   10.3   12.2    9.7    6.2    4.3    2.0    1.42    4.44   10.79    6.74    5.92
2005    2.5    1.0    3.2    3.9    5.7    9.8   11.2   10.3    9.8    8.7    2.2    1.2    1.84    4.26   10.47    6.91    5.83
2006    1.3    0.7    0.8    3.4    6.5    9.6   12.4   11.1   11.3    8.4    4.0    2.9    1.07    3.55   11.08    7.89    6.06
2007    3.2    2.2    2.5    5.3    6.5    9.8   10.5   10.2    8.7    6.6    3.8    1.4    2.77    4.74   10.17    6.37    5.90
2008    2.4    0.9    1.8    3.0    7.5    8.7   11.2   11.8    8.8    5.1    3.5    0.2    1.60    4.12   10.56    5.79    5.43
2009   -0.0    1.0    2.2    4.5    6.4    9.0   11.1   11.4    9.4    7.1    4.6   -0.8    0.36    4.39   10.51    7.01    5.51
2010   -1.7   -1.1    1.3    3.2    5.1    9.3   11.6   10.2    9.0    6.0    1.4   -4.1   -1.20    3.20   10.35    5.48    4.20
2011    0.4    2.6    1.8    5.7    6.8    8.2    9.7   10.2   10.1    7.9    5.8    2.0   -0.49    4.76    9.38    7.92    5.94
2012    1.8    1.2    3.4    2.5    6.0    8.7   10.3   11.3    8.0    4.8    2.8    1.0    1.68    3.97   10.15    5.19    5.17
2013    1.0   -0.2   -0.7    2.2    5.2    8.5   11.9   11.4    8.9    8.3    2.4    2.8    0.64    2.22   10.62    6.52    5.17
2014    2.1    2.5    2.8    5.3    7.3    9.8   11.5    9.9    9.7    7.8    4.8    1.5    2.45    5.14   10.41    7.44    6.27
2015    0.8    0.5    1.9    3.0    5.6    8.1   10.2   10.6    7.6    6.3    5.3    5.2    0.94    3.54    9.66    6.43    5.47
2016    1.8    0.7    1.7    2.5    6.7   10.0   11.3   11.3   10.9    6.3    1.7    2.9    2.59    3.64   10.88    6.29    5.66
2017    1.0    2.6    3.6    3.8    7.4   10.5   11.0   10.5    9.0    8.1    2.7    1.3    2.12    4.97   10.68    6.63    5.99
2018    1.4   -0.6    0.7    4.8    6.9    9.8   11.9   11.1    8.4    5.8    4.5    3.2    0.73    4.16   10.98    6.25    5.72
2019    0.8    2.0    3.5    3.8    5.5    9.1   12.0   11.7    9.1    5.7    2.7    2.4    2.02    4.26   10.98    5.84    5.73
2020    3.0                                                                                                                     
