Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1862
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1904  117.2  111.8   61.3   90.8   79.9   46.4   72.8  107.8   75.8   59.6   77.5   97.1   309.3   232.0   227.0   213.0   998.1
1905   68.2   70.0  120.7   75.9   40.3   65.7   55.2  118.9   75.1   87.0  124.3   58.9   235.3   236.9   239.8   286.4   960.2
1906  153.7   93.4   78.5   48.6  104.8   50.9   60.1   94.3   46.7  160.2  125.0  106.9   306.1   231.9   205.3   331.9  1123.0
1907   68.2   78.2   75.4   80.0   97.3  111.8   70.1  105.0   30.8  148.4   92.0  123.1   253.3   252.7   286.8   271.3  1080.3
1908   88.8   85.8  117.8   72.2   66.8   55.8   86.3   99.9  110.0   51.6   79.2  100.6   297.7   256.8   242.0   240.8  1014.7
1909   83.9   45.4  101.7   82.0   57.9   72.4  104.5   81.2   74.1  162.4   60.1  138.7   229.8   241.5   258.1   296.6  1064.1
1910  111.3  126.3   49.5   95.1   71.6   69.7   97.1  140.7   26.8   89.2  127.7  141.2   376.2   216.3   307.4   243.7  1146.0
1911   59.1   99.2   62.0   69.1   52.1   77.0   43.0   69.6   69.2   91.1  140.9  187.4   299.5   183.2   189.6   301.1  1019.6
1912  111.2   79.3  127.8   35.6   58.1  124.9   92.2  167.0   56.8  115.6  106.1  162.2   377.9   221.5   384.1   278.5  1236.8
1913  122.9   56.8  130.6  103.0   81.3   63.6   33.4   44.3   73.4  102.2  125.0   85.7   342.0   314.9   141.2   300.6  1022.2
1914   78.2  115.2  123.4   52.1   59.1   52.6   94.8   80.4   57.3   61.4  138.1  202.6   279.1   234.6   227.8   256.9  1115.2
1915  117.1  140.6   54.0   65.7   53.2   37.4  124.4   81.0   54.7   74.5   84.2  182.2   460.2   172.9   242.8   213.4  1068.9
1916  108.4  138.9   87.3   70.1   92.5   71.7   73.4   90.5   54.8  172.1  129.2  106.7   429.5   249.9   235.5   356.1  1195.5
1917   73.6   34.2   73.5   63.8   69.3   73.0   60.8  166.2   75.7  166.9  120.2   62.2   214.5   206.6   300.0   362.7  1039.3
1918  105.5  106.1   42.8   49.8   64.9   42.4  120.4   84.3  181.7  106.0   97.4  134.2   273.9   157.5   247.1   385.2  1135.6
1919  119.5   59.5  118.0   80.2   30.0   64.5   49.6   89.9   81.6   71.0  101.2  165.1   313.1   228.1   204.0   253.7  1030.0
